	JordanCon Opening Ceremonies	Welcome to our fourth annual JordanCon's Opening Ceremonies Extravaganza! 	Melissa Craib Dombrowski 	1:00 PM 04/20/12	Great Oaks ABC
World of the Wheel	Breakfast & Books Featuring Verin	"In Honor of Verin's own very special books, we'll start this session of Breakfast & Books with a review of Verin's life's work."	"Linda Taglieri, Maria Simons, Jen Halbman"	10:00 AM 04/22/12	Goulding B
World of the Wheel	The Last Theory Panel Ever	This time we mean it.	"Matt Hatch, Thomas DeSimone, Melissa Craib Dombrowski, Jeffrey Daniel, Leigh Butler"	11:30 AM 04/22/12	Goulding B
World of the Wheel	Betrayers of Hope	Who are the traitors yet to be revealed? Is Sorilea a darkfriend? Is King Roedran really the forsaken known as Demandred? What is Lanfear's play?  Join our discussion of who might be hiding in the shadows.	"Ted Herman, Erin McDermott, Linda Taglieri, Theresa Gray "	1:00 PM 04/22/12	Goulding B
World of the Wheel	Now Enter the Ogier	"Will the Ogier open the Book of Translation and enter another world, or will they enter the fight against the shadow?"	"Linda Taglieri, Maria Simons"	2:30 PM 04/22/12	Goulding B
World of the Wheel	Feedback & Leavetakings	Come tell us what you liked this year and what you'd like to see next year.	JordanCon Staff	4:00 PM 04/22/12	Goulding B
Potpourri	CAGE MATCH- Fantasy vs. Sci-fi	"During this panel, we will create two teams & dream up the baddest collection of all of our Sci-Fi & Fantasy knowledge to pit against each other in a CAGE MATCH. Congoers vote and the winners will be announced during the Social! "	Tiffany Franklin	2:30 PM 04/20/12	Goulding C
Potpourri	Is it Fantasy or Sci-Fi?	A discussion of the differences between these often-linked genres and why (other) people don't take them seriously enough!	"Mary Robinette Kowal, Emilie P. Bush, Michael Livingston"	4:00 PM 04/20/12	Goulding C
Potpourri	Young Adult Literature	"Harry Potter, Alcatraz, The Hunger Games, Twilight... why are full-grown adults reading this stuff?"	"Eugie Foster, Tiffany Franklin, Rachel Little"	5:30 PM 04/20/12	Goulding C
Potpourri	Friday Night TV	Friday Night Fantasy- A Game of Thrones! *THIS IS NOT FAMILY FRIENDLY		8:30 PM 04/20/12	Goulding C
Potpourri	Friday Night TV	Friday Night Fantasy- A Game of Thrones! *THIS IS NOT FAMILY FRIENDLY		10:00 PM 04/20/12	Goulding C
Potpourri	Friday Night TV	Friday Night Fantasy- A Game of Thrones! *THIS IS NOT FAMILY FRIENDLY		11:30 PM 04/20/12	Goulding C
Potpourri	Mistborn Panel	A discussion about the four books currently making up this series.	"Rachel Little, Tiffany Franklin"	10:00 AM 04/21/12	Goulding C
Potpourri	What's Coming From Tor	Come get a sneak peek at forthcoming projects from Tor Books	Paul Stevens	11:30 AM 04/21/12	Goulding C
Potpourri	STEAMPUNK HOUR	You know you love it! A discussion of Steampunk in literature and TV.	Emilie P. Bush	1:00 PM 04/21/12	Goulding C
Potpourri	Baen Traveling Roadshow.	You won't want to miss this...	Toni Weisskopf	2:30 PM 04/21/12	Goulding C
Potpourri	History and Fantasy Hour	A discussion about mixing fantasy with history and keeping it accurate.	"Mary Robinette Kowal, Michael Livingston"	4:00 PM 04/21/12	Goulding C
Potpourri	MAIN PROGRAMING	*Costume Contest Holding Cell		5:00 PM 04/21/12	Goulding C
Potpourri	MAIN PROGRAMING	*Costume Contest Holding Cell		5:30 PM 04/21/12	Goulding C
Potpourri	Saturday Night TV	Saturday Night Sci-Fi: FIREFLY! 		8:30 PM 04/21/12	Goulding C
Potpourri	Saturday Night TV	Saturday Night Sci-Fi: FIREFLY! 		10:00 PM 04/21/12	Goulding C
Potpourri	Saturday Night TV	Saturday Night Sci-Fi: FIREFLY! 		11:30 PM 04/21/12	Goulding C
Potpourri	Vampires in literature	"Whether they glitter, breathe or are just plain scary, we love them! A discussion of vampires in classic, YA and urban fantasy"	"Tiffany Franklin, Kristy Lussier"	10:00 AM 04/22/12	Goulding C
Potpourri	At The Intersection of Puppetry and Science Fiction 	What can the fiction world learn from puppetry?	Mary Robinette Kowal	11:30 AM 04/22/12	Goulding C
Potpourri	Urban Fantasy-Land	A discussion about the genre that seems to be overtaking the Fantasy shelves at the bookstore!	Tiffany Franklin	1:00 PM 04/22/12	Goulding C
Potpourri	The Way of Kings	Epic Fantasy done Sanderson's way.	Rachel Little	2:30 PM 04/22/12	Goulding C
Potpourri	What SHOULD we be reading? 	"An hour dedicated to little known and new authors, small print circulations, and anything else we haven't addressed this weekend! "	"Tiffany Franklin, Paul Stevens"	4:00 PM 04/22/12	Goulding C
Gaming	Open Gaming	Open gaming to commence immediately after opening ceremonies! Bring your favorite game!		2:30 PM 04/20/12	Great Oaks A
Gaming	Open Gaming	Open gaming to commence immediately after opening ceremonies! Bring your favorite game!		4:00 PM 04/20/12	Great Oaks A
Gaming	Open Gaming	Open gaming to commence immediately after opening ceremonies! Bring your favorite game!		5:30 PM 04/20/12	Great Oaks A
Gaming	Seanchan Hold 'Em	Come try your luck at our annual poker tournament benefiting the Mayo Clinic.		8:30 PM 04/20/12	Great Oaks A
Gaming	Seanchan Hold 'Em	Come try your luck at our annual poker tournament benefiting the Mayo Clinic.		10:00 PM 04/20/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		10:00 AM 04/21/12	Great Oaks A
Gaming	Dread	"A horror RPG using a Jenga Tower for conflict resolution. Knock down the tower, and your character is offed, at my discretion."		11:30 AM 04/21/12	Great Oaks A
Gaming	Dread	"A horror RPG using a Jenga Tower for conflict resolution. Knock down the tower, and your character is offed, at my discretion."		1:00 PM 04/21/12	Great Oaks A
Gaming	Open Gaming			2:30 PM 04/21/12	Great Oaks A
Gaming	Costume Contest Pre-judging	"Judges and contestants only, no spectators please."		5:00 PM 04/21/12	Great Oaks A
Gaming	Costume Contest	"Show of your tailoring skills or just come to watch the parade of Seanchan, Aes Sedai, Asha'man, and more!"		5:30 PM 04/21/12	Great Oaks A
Gaming	BSG Boardgame	Want to catch a Frakking Toaster? Join us in a game of Battlestar Galactica! This game will have limited seating depending on participation.		6:30 PM 04/21/12	Great Oaks A
Gaming	Magic: The Gathering Sealed	Come try your luck at our annual Magic game.  There will be both amateur and experienced brackets.  There will be an associated fee for participation depending on the number of players.		8:30 PM 04/21/12	Great Oaks A
Gaming	Magic: The Gathering Sealed	Come try your luck at our annual Magic game.  There will be both amateur and experienced brackets.  There will be an associated fee for participation depending on the number of players.		10:00 PM 04/21/12	Great Oaks A
Gaming	Magic: The Gathering Sealed	Come try your luck at our annual Magic game.  There will be both amateur and experienced brackets.  There will be an associated fee for participation depending on the number of players.		11:30 PM 04/21/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		10:00 AM 04/22/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		11:30 AM 04/22/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		1:00 PM 04/22/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		2:30 PM 04/22/12	Great Oaks A
Gaming	Open Gaming	"Open gaming, bring your favorite games, teach your favorite games! Will last until people decide to stop playing!"		4:00 PM 04/22/12	Great Oaks A
